symbol
LIFE
BAND
APPS
DELL
GPRO
AMC
BLZE
CRWD
ALAB
PURR
CORT
FIVN
PLSE
NTSK
PENG
AEHR
SNDK
PANW
AMBQ
BE
PBF
NUAI
SEI
WIX
FTFT
