symbol
MXL
LIFE
APPS
BLZE
BAND
GPRO
DELL
FIVN
AMC
ALAB
CORT
PANW
SNDK
PENG
AMBQ
AMLX
AEHR
SMTC
MRVL
APPN
BE
NUAI
HUT
PBF
FSLY
WIX
SEI
FTFT
