symbol
MXL
LIFE
APPS
BLZE
BAND
GPRO
AMC
DELL
CORT
CRWD
AMLX
ALAB
AYA
PENG
AMBQ
MRVL
SMTC
AEHR
SHAZ
APPN
PBF
BE
WIX
CRML
RBLX
FTFT
CAPR
