symbol
MXL
LIFE
BAND
APPS
BLZE
AMC
DELL
GPRO
CORT
FIVN
ALAB
PLSE
PANW
PENG
AMBQ
SNDK
SMTC
SAIL
AEHR
BB
APPN
NUAI
WIX
SEI
FTFT
