symbol
MXL
LIFE
APPS
BLZE
GPRO
CORT
BAND
AMC
CRWD
AMLX
HPE
PENG
AMBQ
ALAB
SNDK
MRVL
OSCR
APPN
ANF
PBF
FCEL
CHYM
NAVN
BE
WIX
RBLX
FTFT
CAPR
