symbol
MXL
LIFE
APPS
BLZE
BAND
DELL
FIVN
AMC
ALAB
CORT
SNDK
PENG
AMBQ
AMLX
AEHR
SMTC
MRVL
APPN
BE
NUAI
HUT
PBF
WIX
SEI
