symbol
LIFE
MXL
DELL
BLZE
GPRO
PLSE
APPS
CORT
AMLX
BAND
ETON
HPE
NTSK
DK
PENG
FIVN
AMC
PBF
XMTR
MRVL
ORKA
OMER
FCEL
ANF
CHYM
AMBQ
APPN
NAVN
HOOD
AEHR
CNH
MARA
WIX
BTDR
COIN
FTFT
