name,description,exchange,industry,close,high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,11.73,12.92,8.62,5.88,13.9,12.68,4592271.9,3851085.6333333333,45173234.0,33193149.0,54.34,6,869.42,2,756.2,1,559.99,7.84,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,13.54,14.19,6.59,4.69,9.64,11.68,6147873.3,8318715.166666667,112635403.0,54852221.0,168.65,1,1240.59,1,25.84,183,478.36,16.18,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.65,26.49,23.51,18.53,6.57,7.02,1075710.0,2004435.2,51413763.0,47130285.0,23.32,34,86.27,16,373.25,3,160.95,5.48,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,87.43,87.54,69.68,71.29,5.54,6.98,3111893.3,2467891.9,215767789.0,171970111.0,29.95,21,-2.06,235,400.17,2,142.69,3.24,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.19,38.0,36.93,30.96,7.4,7.26,1925230.6,1536011.3333333333,55588250.0,56721827.0,6.76,127,135.31,3,244.67,7,128.91,2.33,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,12.19,12.3,11.35,10.71,6.28,6.84,2677444.5,2705511.6666666665,32980187.0,30709812.0,13.82,74,30.58,89,317.47,4,120.62,2.02,False,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,29.35,31.02,22.31,18.23,6.81,6.73,10601480.9,9654599.7,283362501.0,215424692.0,66.19,4,111.23,6,180.06,16,119.16,9.06,True,True,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,30.7,31.59,21.1,19.0,5.9,5.34,3002215.0,1694219.6,52012542.0,35752551.0,54.85,5,102.77,9,172.16,17,109.93,11.54,True,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,188.65,200.0,178.97,148.26,4.31,4.83,3442577.2,3951328.1333333333,745418052.0,707181709.0,8.28,111,132.13,4,185.44,15,108.62,5.64,False,True,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.3,14.38,15.12,14.98,5.16,6.69,1956629.2,2442231.8,34923915.0,36929394.0,-11.78,336,20.37,119,300.56,5,103.05,-0.68,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,38.65,39.55,33.06,30.64,5.15,5.36,2754000.1,2061930.1666666667,79693601.0,68176690.0,19.96,43,102.89,8,166.55,20,96.47,4.88,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,58.4,60.3,50.2,52.45,7.62,7.55,1108437.5,836110.5333333333,48828855.0,41974560.0,19.55,45,11.52,166,245.77,6,92.28,1.5,False,False,True
RNG,"RingCentral, Inc.",NYSE,Packaged Software,79.73,79.93,69.52,62.02,4.27,4.2,1599180.1,1474261.8333333333,117542896.0,102486751.0,22.17,38,127.54,5,125.54,40,91.75,6.8,False,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,13.95,14.27,10.84,9.17,7.73,8.3,26458626.4,25700117.666666668,358516641.0,278499325.0,32.6,17,74.37,23,165.71,21,90.9,6.28,True,True,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.27,1.31,1.01,0.89,16.99,12.31,28159947.9,65034931.06666667,82594362.0,65500798.0,101.81,2,74.24,24,88.15,69,88.06,3.49,True,False,False
OKTA,"Okta, Inc.",NASDAQ,Packaged Software,196.62,198.08,162.66,155.11,4.58,4.85,4337543.2,4055593.566666667,797410807.0,659678118.0,44.87,8,65.48,31,153.08,27,87.81,5.52,True,False,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.97,2.98,2.58,2.53,5.35,5.62,29712051.100000035,23185750.933333334,68861680.0,59904252.0,17.86,50,41.43,65,200.0,12,86.43,3.13,False,False,True
