name,description,exchange,industry,close,high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,is_top_1m,is_top_3m,is_top_6m
XHLD,"TEN Holdings, Inc.",NASDAQ,Miscellaneous Commercial Services,9.84,10.0,8.05,5.52,15.38,14.46,4246528.2,6053419.033333333,59565643.0,48733050.0,52.32,9,592.96,2,623.53,1,422.94,5.42,True,True,True
USDE,StablecoinX Inc.,NASDAQ,Packaged Software,10.19,10.56,5.86,4.24,13.74,13.99,5203170.8,7811500.0,79599185.0,45802730.0,273.26,1,908.91,1,4.51,249,395.56,10.03,True,True,False
QMCO,Quantum Corporation,NASDAQ,Computer Peripherals,25.09,25.31,22.58,17.89,7.1,7.27,1105063.2,2001089.1,50207326.0,45188594.0,7.82,78,61.98,30,386.24,2,152.01,5.54,False,False,True
ASST,"Strive, Inc.",NASDAQ,Financial Conglomerates,30.09,30.38,21.15,17.52,6.41,6.26,9805376.6,8961378.466666667,269647878.0,189573481.0,132.36,2,93.5,12,191.85,12,139.24,11.45,True,True,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.0,38.0,36.64,30.3,7.33,7.44,1881293.6,1528798.7,55036753.0,56015184.0,4.74,102,126.42,4,256.79,5,129.32,2.53,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,81.12,81.93,68.68,71.44,5.43,7.41,2748280.3,2377967.4,192900715.0,163326728.0,8.96,70,-6.03,222,373.28,3,125.4,1.83,False,False,True
CDNA,"CareDx, Inc.",NASDAQ,Medical Specialties,53.83,54.46,49.46,44.88,4.04,4.02,1051140.0,1065339.2666666666,57347213.0,52691325.0,14.9,48,124.95,5,205.85,10,115.23,4.96,False,True,True
TEAM,Atlassian Corporation,NASDAQ,Packaged Software,192.02,194.04,176.19,144.27,4.19,4.62,3463309.0,4704642.3,903385414.0,828928961.0,18.82,41,129.58,3,163.37,16,103.92,7.16,False,True,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,568.06,595.51,490.55,462.74,5.83,5.85,9865632.2,8638518.733333332,4907196952.0,4237665678.0,21.39,37,32.14,74,247.44,6,100.32,3.89,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.16,13.78,15.46,15.09,5.42,7.48,1749059.4,2489549.7333333334,32762474.0,38490514.0,-21.43,409,57.6,37,261.54,4,99.24,-1.71,False,False,True
SDGR,"Schrodinger, Inc.",NASDAQ,Packaged Software,29.02,30.22,20.3,18.44,5.83,5.47,2654710.1,1597673.8333333333,46364495.0,32436507.0,60.15,7,83.9,16,137.29,28,93.78,10.5,True,True,False
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,14.09,14.47,10.37,8.91,7.69,8.3,25466669.9,24262143.0,341853595.0,251521593.0,94.08,4,41.61,59,139.22,27,91.63,7.0,True,False,False
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.34,0.97,0.87,19.85,13.0,63428787.9,64547346.7,84557024.0,62548315.0,119.82,3,57.64,36,92.08,59,89.85,3.94,True,False,False
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,53.87,54.29,49.25,42.31,8.61,7.64,788036.2,609829.1333333333,32851495.0,30031849.0,16.93,43,105.69,8,139.96,26,87.53,3.58,False,True,False
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.66,11.25,11.5,10.64,6.5,7.31,2562534.0,2770076.7333333334,29529018.0,31857267.0,-11.13,272,21.83,103,229.01,7,79.9,0.03,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,110.29,117.9,114.92,108.16,4.51,4.45,2566299.9,1400866.0666666667,154501518.0,160986594.0,-7.61,221,33.17,71,210.68,9,78.75,0.44,False,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,32.41,34.21,32.02,26.88,4.9,5.87,1559055.9,3036198.4,98403190.0,97210976.0,-10.3,258,111.62,6,129.37,31,76.9,3.5,False,True,False
GTLB,GitLab Inc.,NASDAQ,Packaged Software,49.23,50.67,44.88,40.29,4.55,4.59,4211051.0,5609993.666666667,276179988.0,251774646.0,18.83,40,88.48,14,115.26,36,74.19,4.84,False,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,50.23,51.18,49.87,53.18,8.26,8.32,978296.9,828546.9666666667,41617914.0,41317566.0,-7.15,213,-2.68,204,225.32,8,71.83,-0.67,False,False,True
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,55.5,57.5,57.0,51.39,4.58,5.2,433508.8,608805.4333333333,33788702.0,34700185.0,-12.67,292,66.62,26,159.35,18,71.1,1.54,False,False,True
RNG,"RingCentral, Inc.",NYSE,Packaged Software,71.86,75.05,68.52,60.56,4.28,4.43,1459329.1,1497257.9,107592953.0,102592111.0,11.72,60,103.8,9,93.33,55,69.62,4.21,False,True,False
CVI,CVR Energy Inc.,NYSE,Oil Refining/Marketing,53.69,54.64,41.85,38.64,4.82,4.59,1321794.5,1058968.1,56855997.0,44322404.0,46.33,12,95.81,11,65.97,88,69.37,8.49,True,True,False
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,60.76,61.78,55.45,52.47,5.82,5.97,27764731.6,22972641.033333354,1395817669.0,1273894206.0,9.1,67,23.56,98,170.89,14,67.85,2.65,False,False,True
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.49,17.62,15.18,14.24,6.18,5.91,8350985.9,6228621.966666667,108938598.0,94521415.0,14.16,51,98.98,10,87.26,65,66.8,3.87,False,True,False
SMTC,Semtech Corporation,NASDAQ,Semiconductors,185.0,185.46,143.55,136.84,5.25,6.31,3664485.8,3311833.033333333,612689111.0,475403144.0,36.55,16,18.52,115,136.57,29,63.88,5.58,True,False,False
DK,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,78.12,82.27,70.91,67.81,5.41,5.36,3084800.4,2102171.3666666667,164221627.0,149062169.0,15.44,45,87.34,15,75.71,76,59.5,2.84,False,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,53.3,53.5,52.75,55.37,4.24,6.47,1318002.1,1497765.0333333334,79830876.0,79000615.0,-8.4,233,-15.98,275,201.81,11,59.14,-0.58,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,32.47,34.75,32.82,30.15,5.22,5.56,2204785.6,2120136.966666667,68840847.0,69593143.0,0.43,147,68.94,23,108.01,44,59.13,1.38,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.7,2.77,2.56,2.48,5.27,5.89,29682007.200000037,21494420.7,58034936.0,54925410.0,12.97,54,1.89,179,162.14,17,59.0,1.47,False,False,True
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,77.19,78.48,72.8,68.89,5.32,5.54,4519768.2,3318266.0,256136953.0,241567553.0,3.1,114,108.45,7,63.92,91,58.49,2.17,False,True,False
XMTR,"Xometry, Inc.",NASDAQ,Information Technology Services,97.18,98.68,90.19,90.88,4.22,4.75,800027.7,585610.5,56909628.0,52813478.0,12.24,57,6.77,160,143.99,23,54.33,1.46,False,False,True
INSP,"Inspire Medical Systems, Inc.",NYSE,Medical Specialties,76.78,78.8,63.76,59.27,4.72,4.49,1032819.8,660792.6,50735656.0,42133017.0,32.84,18,83.2,17,40.39,138,52.14,6.59,True,True,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,244.25,244.44,226.3,215.95,4.02,5.94,19201362.8,22661340.066666666,5535032311.0,5128261257.0,1.72,136,-20.04,307,174.75,13,52.14,2.21,False,False,True
TEM,"Tempus AI, Inc.",NASDAQ,Packaged Software,77.84,81.83,62.75,57.06,5.84,6.35,7234893.1,7628101.6,593771429.0,478686260.0,39.05,15,56.15,41,60.83,100,52.01,5.73,True,False,False
ORKA,"Oruka Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,94.96,98.29,99.3,96.29,5.04,5.22,860917.4,824934.6666666666,78335796.0,81912713.0,-17.79,378,29.73,83,144.05,22,51.99,-0.26,False,False,True
WGS,GeneDx Holdings Corp.,NASDAQ,Medical/Nursing Services,101.1,105.0,85.9,77.32,4.87,5.1,602442.7000000014,561677.866666666,56785632.0,48246537.0,29.1,22,76.13,20,39.01,141,48.08,6.03,True,True,False
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,17.87,18.69,17.75,15.02,4.49,5.04,1586029.9,2171131.7333333334,38798124.0,38528180.0,4.32,105,77.11,19,61.43,96,47.62,3.77,False,True,False
SBET,"Sharplink, Inc.",NASDAQ,Advertising/Marketing Services,9.35,9.36,7.84,7.14,5.92,6.57,8928614.4,9071540.466666691,84818903.0,71145068.0,47.24,11,73.47,22,21.74,187,47.49,4.72,True,True,False
FCEL,"FuelCell Energy, Inc.",NASDAQ,Electronic Equipment/Instruments,18.11,18.38,18.21,19.24,7.05,9.74,6893342.199999997,7817685.499999995,141578284.0,142354841.0,-15.67,346,-12.43,256,170.3,15,47.4,-0.6,False,False,True
ANF,Abercrombie & Fitch Company,NYSE,Apparel/Footwear Retail,135.76,138.2,128.83,116.86,4.22,4.82,1492850.8,2036533.9,276479842.0,262358516.0,30.18,21,58.6,34,52.18,115,46.98,3.35,True,False,False
CHYM,"Chime Financial, Inc.",NASDAQ,Packaged Software,30.33,30.9,32.41,28.56,4.72,5.0,9638159.0,8721705.9,264529340.0,282626880.0,-5.22,195,81.62,18,58.63,104,45.01,1.24,False,True,False
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,65.46,66.0,61.08,65.22,4.64,5.89,687748.4,523545.73333333334,34271304.0,31979395.0,1.66,137,-22.46,322,151.77,19,43.66,0.06,False,False,True
BMNR,"BitMine Immersion Technologies, Inc.",NYSE,Financial Conglomerates,25.99,26.37,22.59,20.28,6.01,6.73,44115485.5,43040560.46666667,1118624167.0,972214527.0,40.26,14,62.84,28,22.88,180,42.0,4.18,True,False,False
APPN,Appian Corporation,NASDAQ,Packaged Software,37.52,37.97,37.6,33.07,5.24,5.51,1069704.5,884964.6666666666,33203874.0,33273492.0,2.99,116,75.08,21,47.31,122,41.79,2.44,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,21.36,22.21,26.96,26.6,5.84,6.93,6620690.1,3661736.7,78214696.0,98707605.0,-27.45,433,0.05,190,147.8,21,40.13,-2.84,False,False,True
SWKS,"Skyworks Solutions, Inc.",NASDAQ,Semiconductors,88.76,92.05,73.29,68.62,6.24,5.56,10064341.5,6987337.733333333,620196097.0,512099653.0,31.03,20,24.3,96,64.01,90,39.78,5.28,True,False,False
BLSH,Bullish,NYSE,Packaged Software,38.34,38.57,31.2,28.07,5.96,6.58,1683555.3,1728747.1,66280164.0,53934028.0,53.98,8,59.42,33,-3.06,273,36.78,5.56,True,False,False
HOOD,"Robinhood Markets, Inc.",NASDAQ,Investment Banks/Brokers,119.82,120.57,105.89,103.18,5.4,5.77,24551876.0,21742827.166666668,2605225551.0,2302253750.0,28.98,23,11.12,143,63.91,92,34.67,2.8,True,False,False
MSTR,Strategy Inc,NASDAQ,Internet Software/Services,153.92,154.02,120.6,110.82,5.32,6.08,23577028.6,26445363.133333333,4070470293.0,3189416575.0,62.81,6,30.84,80,10.36,226,34.67,6.4,True,False,False
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,93.49,93.9,98.62,92.58,7.03,9.82,3097216.7,2740122.533333333,256174056.0,270239105.0,-24.39,422,-21.73,316,147.85,20,33.91,0.1,False,False,True
CNH,CNH Industrial N.V.,NYSE,Trucks/Construction/Farm Machinery,13.45,13.72,12.14,11.56,4.76,4.15,19198392.400000002,22151767.133333333,297941268.0,268870766.0,32.91,17,28.59,88,33.17,152,31.55,3.94,True,False,False
MARA,"MARA Holdings, Inc.",NASDAQ,Data Processing Services,13.24,13.32,10.84,11.19,5.77,7.08,51673300.5,50673368.8,670915403.0,549105070.0,48.68,10,-7.67,229,45.65,127,28.89,2.59,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,78.49,81.92,78.54,69.18,6.23,6.05,1222204.9,1527169.3666666667,119867524.0,119940064.0,2.47,124,89.41,13,-11.84,311,26.68,2.23,False,True,False
BTDR,Bitdeer Technologies Group,NASDAQ,Data Processing Services,12.97,12.99,10.73,11.01,6.27,7.74,9559734.8,13591573.766666668,176282712.0,145903279.0,44.27,13,-28.79,359,52.41,114,22.63,2.3,True,False,False
COIN,"Coinbase Global, Inc.",NASDAQ,Investment Banks/Brokers,194.25,196.21,171.69,166.66,5.38,6.47,11057939.5,10325394.0,2005707784.0,1772732478.0,31.69,19,15.8,124,-4.07,277,14.47,2.56,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,5.5,6.08,3.24,3.95,24.96,24.92,30432550.0,10780191.883333333,59291055.0,34907914.0,76.26,5,-53.64,441,-71.35,451,-16.25,1.58,True,False,False
