name,description,exchange,industry,close,high,prior_high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,below_prior_high,is_top_1m,is_top_3m,is_top_6m
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,34.3,36.41,38.1,36.98,31.9,8.63,8.26,2053627.7,1582390.1,54275980.0,58523115.0,-10.3,298,88.88,16,239.6,8,106.06,0.91,True,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.81,65.13,62.26,51.04,51.8,7.93,7.38,1071680.3,882099.4666666667,54522568.0,45021916.0,33.5,24,18.36,125,263.59,7,105.15,2.62,True,False,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.11,11.75,11.36,11.2,10.82,7.51,7.78,2945956.2,2696509.3666666667,29958219.0,30199557.0,5.01,139,10.66,159,277.89,5,97.85,0.35,True,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,562.89,573.8,549.85,505.27,475.72,4.99,5.61,9565417.999999998,9076956.3,5109327932.0,4586277402.0,25.2,34,42.05,63,221.41,11,96.22,3.26,False,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.29,1.31,1.31,1.07,0.92,8.54,10.89,16439284.0,64975570.833333336,83818486.0,69844624.0,111.48,6,68.03,27,92.54,66,90.68,3.64,True,True,False,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.94,2.96,2.92,2.62,2.58,5.21,5.67,30340521.400000036,23554888.36666667,69251372.0,61768769.0,10.53,93,58.06,36,203.09,14,90.56,2.47,False,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.19,13.75,13.9,14.53,14.89,6.1,7.07,1896220.2,2370101.1666666665,31261634.0,34438360.0,-13.51,327,2.05,200,279.02,4,89.19,-1.61,True,False,False,True
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,Packaged Software,252.13,259.86,263.87,220.89,212.63,4.52,4.8,13773725.0,11514900.633333333,2903251897.0,2543468826.0,37.96,19,46.97,56,171.95,21,85.63,3.87,True,True,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,364.62,377.87,367.72,300.95,305.03,5.31,6.33,4573035.6,3803731.7,1386916652.0,1144734323.0,29.01,27,-4.66,239,228.49,9,84.28,3.08,True,False,False,True
PURR,Hyperliquid Strategies Inc,NASDAQ,Financial Conglomerates,12.85,13.98,14.36,11.53,9.55,8.32,8.97,27194257.1,27740344.7,356463429.0,319786070.0,10.92,90,61.64,33,171.96,20,81.5,3.85,True,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,116.1,120.44,119.15,115.56,110.79,4.94,4.71,2622659.8,1421632.0,165051475.0,164285926.0,-5.28,229,38.68,75,204.8,12,79.4,1.02,True,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,35.77,37.79,37.8,33.48,31.33,5.85,5.76,3078092.6,2041547.7,73026161.0,68352038.0,13.7,75,80.66,18,142.02,35,78.79,2.46,True,False,True,False
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,51.63,54.05,53.6,50.74,44.91,8.96,7.25,609077.4,604027.2,31185924.0,30649750.0,5.37,134,91.79,13,139.03,37,78.73,2.06,True,False,True,False
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.67,18.65,18.77,15.66,14.75,5.49,5.36,8966962.1,6370640.7,112569221.0,99787592.0,33.86,23,82.16,17,112.89,54,76.31,3.7,True,True,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,56.22,56.57,54.27,52.22,53.42,4.27,5.9,1517425.4,1481401.9,83284415.0,77352388.0,11.99,83,-11.04,282,223.1,10,74.68,0.89,False,False,False,True
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,104.39,105.58,99.92,95.88,94.82,6.94,8.43,2320566.2,2670493.8333333335,278772851.0,256049619.0,10.33,95,9.31,161,204.17,13,74.6,1.2,False,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1777.8,1815.0,1802.99,1635.11,1516.76,5.06,6.28,9680795.4,11567304.366666667,20564353703.0,18913813115.0,22.14,41,-18.07,326,196.42,15,66.83,2.74,True,False,False,True
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,374.74,388.25,396.3,361.09,356.52,4.44,4.74,7248532.50000001,6457382.033333342,2419839343.0,2331683164.0,13.4,77,26.97,94,153.97,23,64.78,1.08,True,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,69.79,70.88,70.32,61.86,64.05,5.12,5.47,682877.0,517947.1,36147528.0,32040553.0,14.41,69,-13.25,297,188.75,17,63.3,1.64,True,False,False,True
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,288.7,292.72,269.34,242.3,229.68,5.52,6.65,19553370.8,15172984.1,4380440510.0,3676459566.0,34.94,22,-1.98,222,117.08,51,50.02,3.86,False,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,73.69,74.62,74.28,73.4,70.26,6.41,6.31,5146917.0,3467671.2666666666,255532696.0,254516668.0,13.16,79,75.87,21,46.28,145,45.1,0.77,True,False,True,False
NUAI,"New Era Energy & Digital, Inc.",NASDAQ,Engineering & Construction,7.06,7.1,7.27,5.67,5.42,8.52,9.18,10092626.4,7605650.6,53695893.0,43154462.0,40.64,16,24.96,102,66.12,110,43.9,3.29,True,True,False,False
SEI,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,70.97,71.9,70.84,60.42,58.9,5.19,5.93,2734668.5,2701646.0,191735817.0,163226247.0,35.78,21,-8.05,259,18.88,224,15.54,3.46,False,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,73.79,76.49,85.0,80.32,71.79,6.77,7.25,1259601.6,1448697.0666666667,106899357.0,116365626.0,-12.18,312,74.24,22,-16.58,343,15.16,0.38,True,False,True,False
