name,description,exchange,industry,close,high,prior_high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,below_prior_high,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,84.32,87.4,87.54,70.19,71.13,5.92,7.22,3004515.7,2506159.0,211319327.0,175914819.0,31.91,20,-4.31,211,399.23,3,142.28,2.57,True,True,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,33.91,37.49,38.0,36.94,31.24,8.31,8.12,1869234.4,1559757.1,52891363.0,57622626.0,2.6,145,88.08,12,235.74,7,108.81,1.05,True,False,True,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,11.54,12.28,12.3,11.3,10.75,6.93,7.19,2725180.9,2670602.2666666666,30818750.0,30180031.0,8.05,103,14.31,133,292.52,5,104.96,1.03,True,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,14.06,14.61,14.38,14.97,14.93,5.53,6.83,2051601.9,2441762.1333333333,34331176.0,36543819.0,-11.63,301,16.83,123,304.02,4,103.07,-0.85,True,False,False,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,59.13,62.46,60.3,50.45,52.12,7.87,7.64,1116699.5,858988.7333333333,50792004.0,43338129.0,26.27,26,13.1,139,247.82,6,95.73,1.76,True,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.35,1.31,1.03,0.9,13.69,11.63,26116758.3,65171855.36666667,85375131.0,67137656.0,107.28,1,81.38,17,95.52,65,94.73,3.91,False,True,True,False
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,549.83,570.72,574.6,501.27,469.82,5.44,5.82,9935530.799999997,8997568.1,4947132868.0,4510204963.0,25.47,28,32.64,76,213.96,9,90.69,2.92,True,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,37.68,40.0,39.55,33.23,30.88,5.49,5.59,2937728.0,2088618.8333333333,78699158.0,69410722.0,14.84,66,93.73,9,154.94,27,87.84,3.94,True,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.87,3.0,2.98,2.6,2.54,5.55,5.79,29694472.100000035,23408652.600000005,67182833.0,60846891.0,12.99,76,42.79,58,195.88,13,83.88,2.21,True,False,False,True
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,360.46,367.87,369.15,298.17,303.93,5.68,6.52,4479836.3,3847779.7,1386970671.0,1147274517.0,32.67,18,-14.7,285,224.74,8,80.9,2.85,True,True,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,112.94,118.79,119.0,115.16,109.68,4.74,4.67,2640762.2,1408932.4666666666,159124833.0,162258533.0,-6.32,237,37.92,67,196.51,12,76.03,0.64,True,False,False,True
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,393.3,393.52,377.91,361.7,355.39,4.23,4.74,7298050.500000009,6498256.200000008,2555764163.0,2350417101.0,10.46,87,36.09,70,166.55,22,71.03,2.25,False,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1816.57,1902.22,1909.48,1613.14,1506.65,5.25,6.41,9933129.4,12186101.066666666,22136905615.0,19657917540.0,21.58,43,-18.84,306,202.89,11,68.54,3.21,True,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,53.88,56.15,57.5,52.56,54.01,4.46,6.18,1444105.0,1478929.3666666667,79684714.0,77732528.0,6.31,116,-21.3,323,209.66,10,64.89,-0.04,True,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,69.13,71.92,73.08,61.57,64.41,4.98,5.75,699391.2,523560.0,36193703.0,32234542.0,18.9,52,-18.09,301,186.02,17,62.28,1.27,True,False,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,30.6,33.02,33.19,32.91,27.73,5.17,6.02,1646519.8,3015228.7,92281074.0,99240725.0,-20.79,398,75.19,20,127.72,39,60.7,1.72,True,False,True,False
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,97.38,100.0,100.94,97.57,94.22,7.25,9.07,2497500.4,2724866.933333333,265347542.0,265869808.0,1.69,155,-5.09,215,183.74,18,60.12,0.37,True,False,False,True
SMTC,Semtech Corporation,NASDAQ,Semiconductors,169.33,174.5,178.5,147.52,139.07,6.09,6.7,3779461.2,3574499.6333333333,605270023.0,527306016.0,41.54,11,-0.1,191,127.56,40,56.34,3.25,True,True,False,False
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,260.9,264.97,266.0,231.0,218.04,4.14,5.4,18473322.8,22627764.466666665,5903583749.0,5227051305.0,13.82,72,-10.4,247,164.12,23,55.85,3.64,True,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,37.96,38.21,39.67,37.86,33.81,5.11,5.52,905395.0,864666.5666666667,32822743.0,32733682.0,-0.89,181,85.17,14,58.86,117,47.71,2.22,True,False,True,False
BE,Bloom Energy Corporation,NYSE,Electronic Production Equipment,275.19,282.64,284.25,239.57,227.49,5.72,6.56,18524539.9,14900467.333333334,4100459605.0,3569714893.0,43.34,10,-20.53,319,106.93,55,43.25,3.2,True,True,False,False
NUAI,"New Era Energy & Digital, Inc.",NASDAQ,Engineering & Construction,6.99,7.2,7.46,5.56,5.31,8.01,9.3,9227850.0,7371434.733333333,51526329.0,40971663.0,45.63,8,16.11,126,64.47,104,42.07,3.4,True,True,False,False
HUT,Hut 8 Corp.,NASDAQ,Data Processing Services,102.46,107.2,110.69,88.99,93.46,7.24,7.84,5039576.400000009,4977065.166666665,509950097.0,442889950.0,28.87,21,-14.69,284,106.07,56,40.09,1.23,True,True,False,False
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,70.47,74.76,74.99,73.37,69.75,6.35,6.52,5215866.8,3422466.7333333334,241181231.0,251097258.0,-2.68,197,76.66,18,39.89,155,37.96,0.16,True,False,True,False
FSLY,"Fastly, Inc.",NASDAQ,Information Technology Services,29.65,31.33,28.84,24.41,23.53,8.85,8.8,9791478.7,6508967.566666666,192990888.0,158903425.0,22.72,34,82.35,15,5.5,258,36.86,2.95,False,False,True,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,76.8,82.07,85.37,80.24,70.89,6.5,6.62,1082583.8,1542712.8333333333,118480346.0,123788306.0,-6.19,235,81.6,16,-13.18,329,20.74,1.26,True,False,True,False
SEI,"Solaris Energy Infrastructure, Inc.",NYSE,Oilfield Services/Equipment,67.43,67.99,68.17,59.77,58.65,5.14,6.33,2928630.0,2690347.7,181410145.0,160806566.0,27.23,23,-13.63,274,12.95,233,8.85,2.36,True,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.44,6.13,4.44,3.35,3.77,36.17,31.66,23139889.3,11012660.6,48896213.0,36851226.0,66.14,2,-59.01,441,-77.35,447,-23.4,0.56,False,True,False,False
