name,description,exchange,industry,close,high,prior_high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,below_prior_high,is_top_1m,is_top_3m,is_top_6m
CHYM,"Chime Financial, Inc.",NASDAQ,Packaged Software,30.33,30.9,,32.41,28.56,4.72,5.0,9638159.0,8721705.9,264529340.0,282626880.0,-5.22,195,81.62,18,58.63,104,45.01,1.24,False,False,True,False
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,65.46,66.0,,61.08,65.22,4.64,5.89,687748.4,523545.73333333334,34271304.0,31979395.0,1.66,137,-22.46,322,151.77,19,43.66,0.06,False,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,37.52,37.97,,37.6,33.07,5.24,5.51,1069704.5,884964.6666666666,33203874.0,33273492.0,2.99,116,75.08,21,47.31,122,41.79,2.44,False,False,True,False
NAVN,"Navan, Inc.",NASDAQ,Packaged Software,21.36,22.21,,26.96,26.6,5.84,6.93,6620690.1,3661736.7,78214696.0,98707605.0,-27.45,433,0.05,190,147.8,21,40.13,-2.84,False,False,False,True
HOOD,"Robinhood Markets, Inc.",NASDAQ,Investment Banks/Brokers,119.82,120.57,,105.89,103.18,5.4,5.77,24551876.0,21742827.166666668,2605225551.0,2302253750.0,28.98,23,11.12,143,63.91,92,34.67,2.8,False,True,False,False
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,93.49,93.9,,98.62,92.58,7.03,9.82,3097216.7,2740122.533333333,256174056.0,270239105.0,-24.39,422,-21.73,316,147.85,20,33.91,0.1,False,False,False,True
CNH,CNH Industrial N.V.,NYSE,Trucks/Construction/Farm Machinery,13.45,13.72,,12.14,11.56,4.76,4.15,19198392.400000002,22151767.133333333,297941268.0,268870766.0,32.91,17,28.59,88,33.17,152,31.55,3.94,False,True,False,False
MARA,"MARA Holdings, Inc.",NASDAQ,Data Processing Services,13.24,13.32,,10.84,11.19,5.77,7.08,51673300.5,50673368.8,670915403.0,549105070.0,48.68,10,-7.67,229,45.65,127,28.89,2.59,False,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,78.49,81.92,,78.54,69.18,6.23,6.05,1222204.9,1527169.3666666667,119867524.0,119940064.0,2.47,124,89.41,13,-11.84,311,26.68,2.23,False,False,True,False
BTDR,Bitdeer Technologies Group,NASDAQ,Data Processing Services,12.97,12.99,,10.73,11.01,6.27,7.74,9559734.8,13591573.766666668,176282712.0,145903279.0,44.27,13,-28.79,359,52.41,114,22.63,2.3,False,True,False,False
COIN,"Coinbase Global, Inc.",NASDAQ,Investment Banks/Brokers,194.25,196.21,,171.69,166.66,5.38,6.47,11057939.5,10325394.0,2005707784.0,1772732478.0,31.69,19,15.8,124,-4.07,277,14.47,2.56,False,True,False,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,5.5,6.08,,3.24,3.95,24.96,24.92,30432550.0,10780191.883333333,59291055.0,34907914.0,76.26,5,-53.64,441,-71.35,451,-16.25,1.58,False,True,False,False
