name,description,exchange,industry,close,high,prior_high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,below_prior_high,is_top_1m,is_top_3m,is_top_6m
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,36.0,38.0,,36.64,30.3,7.33,7.44,1881293.6,1528798.7,55036753.0,56015184.0,4.74,102,126.42,4,256.79,5,129.32,2.53,False,False,True,True
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,81.12,81.93,,68.68,71.44,5.43,7.41,2748280.3,2377967.4,192900715.0,163326728.0,8.96,70,-6.03,222,373.28,3,125.4,1.83,False,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,568.06,595.51,,490.55,462.74,5.83,5.85,9865632.2,8638518.733333332,4907196952.0,4237665678.0,21.39,37,32.14,74,247.44,6,100.32,3.89,False,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.16,13.78,,15.46,15.09,5.42,7.48,1749059.4,2489549.7333333334,32762474.0,38490514.0,-21.43,409,57.6,37,261.54,4,99.24,-1.71,False,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.31,1.34,,0.97,0.87,19.85,13.0,63428787.9,64547346.7,84557024.0,62548315.0,119.82,3,57.64,36,92.08,59,89.85,3.94,False,True,False,False
PLSE,"Pulse Biosciences, Inc",NASDAQ,Medical Specialties,53.87,54.29,,49.25,42.31,8.61,7.64,788036.2,609829.1333333333,32851495.0,30031849.0,16.93,43,105.69,8,139.96,26,87.53,3.58,False,False,True,False
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.66,11.25,,11.5,10.64,6.5,7.31,2562534.0,2770076.7333333334,29529018.0,31857267.0,-11.13,272,21.83,103,229.01,7,79.9,0.03,False,False,False,True
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,110.29,117.9,,114.92,108.16,4.51,4.45,2566299.9,1400866.0666666667,154501518.0,160986594.0,-7.61,221,33.17,71,210.68,9,78.75,0.44,False,False,False,True
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,32.41,34.21,,32.02,26.88,4.9,5.87,1559055.9,3036198.4,98403190.0,97210976.0,-10.3,258,111.62,6,129.37,31,76.9,3.5,False,False,True,False
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,50.23,51.18,,49.87,53.18,8.26,8.32,978296.9,828546.9666666667,41617914.0,41317566.0,-7.15,213,-2.68,204,225.32,8,71.83,-0.67,False,False,False,True
ETON,"Eton Pharmaceuticals, Inc.",NASDAQ,Pharmaceuticals: Major,55.5,57.5,,57.0,51.39,4.58,5.2,433508.8,608805.4333333333,33788702.0,34700185.0,-12.67,292,66.62,26,159.35,18,71.1,1.54,False,False,False,True
HPE,Hewlett Packard Enterprise Company,NYSE,Computer Processing Hardware,60.76,61.78,,55.45,52.47,5.82,5.97,27764731.6,22972641.033333354,1395817669.0,1273894206.0,9.1,67,23.56,98,170.89,14,67.85,2.65,False,False,False,True
NTSK,"Netskope, Inc.",NASDAQ,Packaged Software,17.49,17.62,,15.18,14.24,6.18,5.91,8350985.9,6228621.966666667,108938598.0,94521415.0,14.16,51,98.98,10,87.26,65,66.8,3.87,False,False,True,False
DK,"Delek US Holdings, Inc.",NYSE,Oil Refining/Marketing,78.12,82.27,,70.91,67.81,5.41,5.36,3084800.4,2102171.3666666667,164221627.0,149062169.0,15.44,45,87.34,15,75.71,76,59.5,2.84,False,False,True,False
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,53.3,53.5,,52.75,55.37,4.24,6.47,1318002.1,1497765.0333333334,79830876.0,79000615.0,-8.4,233,-15.98,275,201.81,11,59.14,-0.58,False,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,32.47,34.75,,32.82,30.15,5.22,5.56,2204785.6,2120136.966666667,68840847.0,69593143.0,0.43,147,68.94,23,108.01,44,59.13,1.38,False,False,True,False
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.7,2.77,,2.56,2.48,5.27,5.89,29682007.200000037,21494420.7,58034936.0,54925410.0,12.97,54,1.89,179,162.14,17,59.0,1.47,False,False,False,True
PBF,PBF Energy Inc.,NYSE,Oil Refining/Marketing,77.19,78.48,,72.8,68.89,5.32,5.54,4519768.2,3318266.0,256136953.0,241567553.0,3.1,114,108.45,7,63.92,91,58.49,2.17,False,False,True,False
XMTR,"Xometry, Inc.",NASDAQ,Information Technology Services,97.18,98.68,,90.19,90.88,4.22,4.75,800027.7,585610.5,56909628.0,52813478.0,12.24,57,6.77,160,143.99,23,54.33,1.46,False,False,False,True
MRVL,"Marvell Technology, Inc.",NASDAQ,Semiconductors,244.25,244.44,,226.3,215.95,4.02,5.94,19201362.8,22661340.066666666,5535032311.0,5128261257.0,1.72,136,-20.04,307,174.75,13,52.14,2.21,False,False,False,True
ORKA,"Oruka Therapeutics, Inc.",NASDAQ,Pharmaceuticals: Major,94.96,98.29,,99.3,96.29,5.04,5.22,860917.4,824934.6666666666,78335796.0,81912713.0,-17.79,378,29.73,83,144.05,22,51.99,-0.26,False,False,False,True
OMER,Omeros Corporation,NASDAQ,Pharmaceuticals: Major,17.87,18.69,,17.75,15.02,4.49,5.04,1586029.9,2171131.7333333334,38798124.0,38528180.0,4.32,105,77.11,19,61.43,96,47.62,3.77,False,False,True,False
FCEL,"FuelCell Energy, Inc.",NASDAQ,Electronic Equipment/Instruments,18.11,18.38,,18.21,19.24,7.05,9.74,6893342.199999997,7817685.499999995,141578284.0,142354841.0,-15.67,346,-12.43,256,170.3,15,47.4,-0.6,False,False,False,True
ANF,Abercrombie & Fitch Company,NYSE,Apparel/Footwear Retail,135.76,138.2,,128.83,116.86,4.22,4.82,1492850.8,2036533.9,276479842.0,262358516.0,30.18,21,58.6,34,52.18,115,46.98,3.35,False,True,False,False
