name,description,exchange,industry,close,high,prior_high,SMA30,SMA50,ADRP,ATRP,average_volume_10d_calc,average_volume_30d_calc,dollar_volume_30d,average_dollar_volume_30d,Perf.1M,perf_1m_rank,Perf.3M,perf_3m_rank,Perf.6M,perf_6m_rank,momentum_score,atr_extension_from_50d,below_prior_high,is_top_1m,is_top_3m,is_top_6m
MXL,"MaxLinear, Inc",NASDAQ,Semiconductors,85.31,87.35,87.4,70.56,71.06,6.19,7.27,3199592.8,2580567.566666667,220148219.0,182082267.0,28.05,25,-5.4,244,405.09,2,142.58,2.76,True,False,False,True
LIFE,Ethos Technologies Inc.,NASDAQ,Packaged Software,35.31,38.1,37.49,37.0,31.58,8.57,8.12,2026847.8,1589415.5,56122261.0,58809433.0,-4.46,224,94.44,9,249.6,7,113.19,1.45,True,False,True,True
BAND,Bandwidth Inc.,NASDAQ,Packaged Software,61.83,62.26,62.46,50.78,51.94,7.79,7.34,1092938.5,866887.3333333334,53599644.0,44021550.0,30.55,22,18.4,126,263.71,5,104.22,2.6,True,True,False,True
APPS,"Digital Turbine, Inc.",NASDAQ,Packaged Software,10.88,11.36,12.28,11.25,10.77,7.35,7.85,2842416.4,2673962.2666666666,29092709.0,30081630.0,1.49,160,8.37,165,270.07,4,93.31,0.13,True,False,False,True
BLZE,"Backblaze, Inc.",NASDAQ,Computer Peripherals,13.5,13.9,14.61,14.77,14.9,5.83,6.99,1912161.7,2410829.6666666665,32558255.0,35611972.0,-13.1,316,4.49,191,288.07,3,93.16,-1.34,True,False,False,True
AMC,"AMC Entertainment Holdings, Inc.",NYSE,Movies/Entertainment,2.91,2.92,3.0,2.61,2.56,5.47,5.84,30185086.100000035,23658960.466666665,68847575.0,61797205.0,7.78,111,56.45,42,200.0,12,88.08,2.33,True,False,False,True
DELL,Dell Technologies Inc.,NYSE,Computer Processing Hardware,536.02,549.85,570.72,502.99,472.29,5.14,5.81,10139208.599999998,9054570.233333332,4853430736.0,4554328100.0,21.03,44,35.27,79,206.07,10,87.46,2.32,True,False,False,True
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,1.26,1.31,1.35,1.05,0.91,12.02,11.62,18319888.0,65013606.166666664,81917144.0,68458894.0,107.51,2,64.13,32,88.06,69,86.57,3.28,True,True,False,False
CORT,Corcept Therapeutics Incorporated,NASDAQ,Pharmaceuticals: Major,118.51,119.15,118.79,115.38,110.26,4.65,4.59,2670827.5,1419621.3333333333,168239324.0,163789048.0,-5.11,232,41.56,67,211.13,9,82.53,1.63,True,False,False,True
FIVN,"Five9, Inc.",NASDAQ,Packaged Software,36.66,37.8,40.0,33.41,31.12,5.63,5.6,3018601.7,2083458.3666666667,76379584.0,69618414.0,12.35,85,85.15,16,148.04,29,81.85,3.18,True,False,True,False
ALAB,"Astera Labs, Inc.",NASDAQ,Semiconductors,360.51,367.72,367.87,299.56,304.13,5.65,6.44,4497567.2,3812896.7666666666,1374587413.0,1142174833.0,26.08,28,-5.74,248,224.78,8,81.71,2.88,True,False,False,True
PANW,"Palo Alto Networks, Inc.",NASDAQ,Packaged Software,389.92,396.3,393.52,361.8,356.11,4.2,4.59,7228403.20000001,6447689.366666675,2514083038.0,2332752521.0,10.22,101,32.11,84,164.26,23,68.86,2.07,True,False,False,True
PENG,"Penguin Solutions, Inc.",NASDAQ,Semiconductors,53.08,54.27,56.15,52.37,53.62,4.45,6.22,1498215.5,1482518.7666666666,78692096.0,77641979.0,1.26,163,-16.01,316,205.06,11,63.43,-0.16,True,False,False,True
AMBQ,"Ambiq Micro, Inc.",NYSE,Semiconductors,68.92,70.32,71.92,61.68,64.14,5.08,5.72,698868.6,522111.6,35983931.0,32203321.0,16.99,61,-14.33,306,185.15,18,62.6,1.3,True,False,False,True
SNDK,Sandisk Corporation,NASDAQ,Computer Peripherals,1753.62,1802.99,1902.22,1626.79,1509.42,5.49,6.54,9883003.0,12058807.633333333,21146566242.0,19617109484.0,14.34,76,-19.19,333,192.39,15,62.51,2.48,True,False,False,True
AEHR,Aehr Test Systems,NASDAQ,Electronic Production Equipment,97.42,99.92,100.0,96.51,94.42,7.33,8.92,2329296.7,2676748.0,260768790.0,258336518.0,-4.34,222,2.01,196,183.86,19,60.51,0.36,True,False,False,True
APPN,Appian Corporation,NASDAQ,Packaged Software,37.61,38.79,38.21,37.95,34.05,5.17,5.46,878164.2,854041.9333333333,32120517.0,32410891.0,-2.44,195,80.3,20,57.4,116,45.09,1.91,True,False,True,False
NUAI,"New Era Energy & Digital, Inc.",NASDAQ,Engineering & Construction,6.94,7.27,7.2,5.61,5.36,8.51,9.53,9658169.8,7567437.3,52518015.0,42416747.0,41.63,9,22.83,113,63.29,108,42.59,3.09,True,True,False,False
WIX,Wix.com Ltd.,NASDAQ,Packaged Software,77.53,85.0,82.07,80.53,71.37,6.5,6.95,1206554.7,1563317.7,121204021.0,125899185.0,-6.76,242,83.07,18,-12.36,328,21.32,1.24,True,False,True,False
FTFT,Future FinTech Group Inc.,NASDAQ,Finance/Rental/Leasing,4.42,4.7,6.13,3.39,3.73,36.74,30.32,21698253.3,11025299.008333333,48731822.0,37328502.0,76.04,3,-58.5,448,-77.45,454,-19.97,0.61,True,True,False,False
